ORDER_ID,ORDER_DATE,CUSTOMER_NAME,CUSTOMER_EMAIL,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_SEGMENT,SALES_REP_NAME,SALES_REP_REGION,SALES_REP_EMAIL,PAYMENT_METHOD,SHIPPING_COST,ORDER_ITEMS
ORD1001,2026-04-08,Arjun Verma,arjun.verma@mail.com,Bengaluru,Karnataka,Consumer,Nitin Rao,West,nitin.rao@firm.com,Credit Card,99,27in Monitor~Electronics~18999~5 || Bookshelf~Furniture~6499~1
ORD1002,2026-04-07,Meera Joshi,meera.joshi@mail.com,Pune,Maharashtra,SMB,Lakshmi Menon,South,lakshmi.menon@firm.com,Credit Card,0,Wireless Mouse~Electronics~799~2 || Office Chair~Furniture~12499~5
ORD1003,2026-04-25,Vikram Singh,vikram.singh@mail.com,Jaipur,Rajasthan,SMB,Pooja Bhatt,South,pooja.bhatt@firm.com,Debit Card,99,Desk Lamp~Appliances~1299~3 || Gel Pen Pack~Stationery~249~2
ORD1004,2026-05-04,Diya Patel,diya.patel@mail.com,Ahmedabad,Gujarat,SMB,Sameer Khan,North,sameer.khan@firm.com,Credit Card,0,Electric Kettle~Appliances~1999~1 || Standing Desk~Furniture~28999~4 || Noise Cancel Headset~Electronics~8999~5
ORD1005,2026-06-20,Priya Nair,priya.nair@mail.com,Bengaluru,Karnataka,Corporate,Lakshmi Menon,South,lakshmi.menon@firm.com,Credit Card,99,A4 Notebook~Stationery~199~1 || Electric Kettle~Appliances~1999~2 || Mechanical Keyboard~Electronics~4999~3
ORD1006,2026-05-15,Priya Nair,priya.nair@mail.com,Bengaluru,Karnataka,Corporate,Pooja Bhatt,South,pooja.bhatt@firm.com,Credit Card,149,Gel Pen Pack~Stationery~249~2 || Data Modeling Guide~Books~1199~3 || SQL Cookbook~Books~899~1
ORD1007,2026-04-15,Meera Joshi,meera.joshi@mail.com,Pune,Maharashtra,SMB,Tara Bose,East,tara.bose@firm.com,UPI,49,Office Chair~Furniture~12499~5 || SQL Cookbook~Books~899~2 || Bookshelf~Furniture~6499~3 || Electric Kettle~Appliances~1999~1
ORD1008,2026-05-03,Diya Patel,diya.patel@mail.com,Ahmedabad,Gujarat,SMB,Nitin Rao,West,nitin.rao@firm.com,Net Banking,149,Bookshelf~Furniture~6499~4 || 27in Monitor~Electronics~18999~4
ORD1009,2026-04-08,Arjun Verma,arjun.verma@mail.com,Bengaluru,Karnataka,Consumer,Lakshmi Menon,South,lakshmi.menon@firm.com,UPI,99,Desk Lamp~Appliances~1299~4 || SQL Cookbook~Books~899~3 || Standing Desk~Furniture~28999~2
ORD1010,2026-04-28,Rohan Mehta,rohan.mehta@mail.com,Pune,Maharashtra,Consumer,Gaurav Sethi,West,gaurav.sethi@firm.com,Debit Card,0,Noise Cancel Headset~Electronics~8999~2
ORD1011,2026-05-13,Arjun Verma,arjun.verma@mail.com,Bengaluru,Karnataka,Consumer,Lakshmi Menon,South,lakshmi.menon@firm.com,Wallet,0,Office Chair~Furniture~12499~1 || Data Modeling Guide~Books~1199~5 || Desk Lamp~Appliances~1299~3 || Wireless Mouse~Electronics~799~3
ORD1012,2026-05-01,Priya Nair,priya.nair@mail.com,Bengaluru,Karnataka,Corporate,Sameer Khan,North,sameer.khan@firm.com,Debit Card,49,Gel Pen Pack~Stationery~249~3 || Office Chair~Furniture~12499~5 || Mechanical Keyboard~Electronics~4999~5
ORD1013,2026-06-25,Diya Patel,diya.patel@mail.com,Ahmedabad,Gujarat,SMB,Pooja Bhatt,South,pooja.bhatt@firm.com,Net Banking,49,Bookshelf~Furniture~6499~4
ORD1014,2026-04-02,Aarav Sharma,aarav.sharma@mail.com,Mumbai,Maharashtra,Consumer,Nitin Rao,West,nitin.rao@firm.com,Net Banking,99,USB-C Hub~Electronics~2499~4 || Mechanical Keyboard~Electronics~4999~1
ORD1015,2026-06-06,Rahul Kapoor,rahul.kapoor@mail.com,Delhi,Delhi,Corporate,Pooja Bhatt,South,pooja.bhatt@firm.com,UPI,149,Desk Lamp~Appliances~1299~2 || 27in Monitor~Electronics~18999~3 || Office Chair~Furniture~12499~4
ORD1016,2026-06-15,Arjun Verma,arjun.verma@mail.com,Bengaluru,Karnataka,Consumer,Tara Bose,East,tara.bose@firm.com,Net Banking,149,Sticky Notes~Stationery~149~2
ORD1017,2026-06-08,Priya Nair,priya.nair@mail.com,Bengaluru,Karnataka,Corporate,Sameer Khan,North,sameer.khan@firm.com,Credit Card,49,USB-C Hub~Electronics~2499~1
ORD1018,2026-04-17,Diya Patel,diya.patel@mail.com,Ahmedabad,Gujarat,SMB,Nitin Rao,West,nitin.rao@firm.com,Credit Card,99,Office Chair~Furniture~12499~4 || Bookshelf~Furniture~6499~2
ORD1019,2026-04-26,Rahul Kapoor,rahul.kapoor@mail.com,Delhi,Delhi,Corporate,Pooja Bhatt,South,pooja.bhatt@firm.com,Wallet,149,Desk Lamp~Appliances~1299~4 || 27in Monitor~Electronics~18999~3 || Mechanical Keyboard~Electronics~4999~4 || Data Modeling Guide~Books~1199~4
ORD1020,2026-04-13,Ananya Das,ananya.das@mail.com,Kolkata,West Bengal,Consumer,Tara Bose,East,tara.bose@firm.com,Credit Card,0,27in Monitor~Electronics~18999~2 || Data Modeling Guide~Books~1199~5 || SQL Cookbook~Books~899~4
ORD1021,2026-05-08,Rohan Mehta,rohan.mehta@mail.com,Pune,Maharashtra,Consumer,Lakshmi Menon,South,lakshmi.menon@firm.com,UPI,99,SQL Cookbook~Books~899~5
ORD1022,2026-04-25,Priya Nair,priya.nair@mail.com,Bengaluru,Karnataka,Corporate,Nitin Rao,West,nitin.rao@firm.com,Wallet,0,Gel Pen Pack~Stationery~249~4 || A4 Notebook~Stationery~199~4
ORD1023,2026-05-01,Diya Patel,diya.patel@mail.com,Ahmedabad,Gujarat,SMB,Lakshmi Menon,South,lakshmi.menon@firm.com,Credit Card,49,Office Chair~Furniture~12499~4 || SQL Cookbook~Books~899~3 || Coffee Maker~Appliances~5499~4 || Desk Lamp~Appliances~1299~5
ORD1024,2026-04-10,Arjun Verma,arjun.verma@mail.com,Bengaluru,Karnataka,Consumer,Tara Bose,East,tara.bose@firm.com,Debit Card,49,Mechanical Keyboard~Electronics~4999~5 || Standing Desk~Furniture~28999~1
ORD1025,2026-06-16,Ishita Gupta,ishita.gupta@mail.com,Ahmedabad,Gujarat,Corporate,Sameer Khan,North,sameer.khan@firm.com,Credit Card,0,Mechanical Keyboard~Electronics~4999~1 || Office Chair~Furniture~12499~2
ORD1026,2026-05-04,Priya Nair,priya.nair@mail.com,Bengaluru,Karnataka,Corporate,Gaurav Sethi,West,gaurav.sethi@firm.com,Credit Card,49,Mechanical Keyboard~Electronics~4999~1 || Standing Desk~Furniture~28999~4
ORD1027,2026-05-07,Arjun Verma,arjun.verma@mail.com,Bengaluru,Karnataka,Consumer,Gaurav Sethi,West,gaurav.sethi@firm.com,Wallet,99,Sticky Notes~Stationery~149~2 || Noise Cancel Headset~Electronics~8999~3 || A4 Notebook~Stationery~199~4
ORD1028,2026-06-19,Sneha Reddy,sneha.reddy@mail.com,Hyderabad,Telangana,Consumer,Nitin Rao,West,nitin.rao@firm.com,Credit Card,149,USB-C Hub~Electronics~2499~5
ORD1029,2026-05-03,Diya Patel,diya.patel@mail.com,Ahmedabad,Gujarat,SMB,Gaurav Sethi,West,gaurav.sethi@firm.com,Net Banking,49,Electric Kettle~Appliances~1999~2 || Noise Cancel Headset~Electronics~8999~4
ORD1030,2026-06-27,Rahul Kapoor,rahul.kapoor@mail.com,Delhi,Delhi,Corporate,Tara Bose,East,tara.bose@firm.com,Net Banking,0,27in Monitor~Electronics~18999~3 || SQL Cookbook~Books~899~1 || USB-C Hub~Electronics~2499~1
ORD1031,2026-05-20,Ishita Gupta,ishita.gupta@mail.com,Ahmedabad,Gujarat,Corporate,Gaurav Sethi,West,gaurav.sethi@firm.com,UPI,99,Bookshelf~Furniture~6499~3 || 27in Monitor~Electronics~18999~5
ORD1032,2026-06-14,Ananya Das,ananya.das@mail.com,Kolkata,West Bengal,Consumer,Sameer Khan,North,sameer.khan@firm.com,Credit Card,0,Mechanical Keyboard~Electronics~4999~2 || Wireless Mouse~Electronics~799~3 || Gel Pen Pack~Stationery~249~2
ORD1033,2026-06-01,Ishita Gupta,ishita.gupta@mail.com,Ahmedabad,Gujarat,Corporate,Lakshmi Menon,South,lakshmi.menon@firm.com,Wallet,149,USB-C Hub~Electronics~2499~2
ORD1034,2026-05-05,Rahul Kapoor,rahul.kapoor@mail.com,Delhi,Delhi,Corporate,Nitin Rao,West,nitin.rao@firm.com,Net Banking,49,Standing Desk~Furniture~28999~3
ORD1035,2026-06-04,Aarav Sharma,aarav.sharma@mail.com,Mumbai,Maharashtra,Consumer,Sameer Khan,North,sameer.khan@firm.com,UPI,49,Desk Lamp~Appliances~1299~2 || Standing Desk~Furniture~28999~2 || Electric Kettle~Appliances~1999~2
ORD1036,2026-06-11,Rohan Mehta,rohan.mehta@mail.com,Pune,Maharashtra,Consumer,Lakshmi Menon,South,lakshmi.menon@firm.com,Credit Card,49,Sticky Notes~Stationery~149~1 || Noise Cancel Headset~Electronics~8999~4 || USB-C Hub~Electronics~2499~1 || Coffee Maker~Appliances~5499~4
ORD1037,2026-05-27,Diya Patel,diya.patel@mail.com,Ahmedabad,Gujarat,SMB,Pooja Bhatt,South,pooja.bhatt@firm.com,Debit Card,99,Sticky Notes~Stationery~149~2 || Wireless Mouse~Electronics~799~4
ORD1038,2026-05-21,Sneha Reddy,sneha.reddy@mail.com,Hyderabad,Telangana,Consumer,Sameer Khan,North,sameer.khan@firm.com,Credit Card,99,Bookshelf~Furniture~6499~2 || Wireless Mouse~Electronics~799~5 || Mechanical Keyboard~Electronics~4999~3 || Noise Cancel Headset~Electronics~8999~1
